scorer,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000,DLC_resnet101_NOR+OpenfieldFeb28shuffle1_200000
bodyparts,nose,nose,nose,objectA,objectA,objectA,objectB,objectB,objectB
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,814.3118286132812,773.3037719726562,0.9575896859169006,499.49737548828125,230.14231872558594,0.999985933303833,499.0384521484375,227.5225372314453,0.005940004717558622
1,813.01318359375,773.3524780273438,0.9294412732124329,499.1603698730469,230.15699768066406,0.9999874830245972,498.718505859375,227.5956573486328,0.005641817580908537
2,813.0455932617188,773.0809936523438,0.9338418841362,499.5967712402344,230.78652954101562,0.9999837875366211,510.294677734375,234.30792236328125,0.005788714624941349
3,813.8623657226562,770.9330444335938,0.9577510356903076,500.74725341796875,231.3844757080078,0.999974250793457,498.98870849609375,228.0654754638672,0.0064993505366146564
4,814.2164916992188,767.3345336914062,0.8723396062850952,498.8095703125,230.16847229003906,0.9999872446060181,498.6291809082031,227.66339111328125,0.00530123570933938
5,811.0747680664062,759.8084716796875,0.6569976210594177,498.7929382324219,230.07571411132812,0.9999873638153076,498.6094970703125,227.55787658691406,0.005468377377837896
6,811.266357421875,752.8711547851562,0.10253842920064926,498.6534423828125,230.2760467529297,0.9999853372573853,498.5670471191406,227.66571044921875,0.005557121708989143
7,810.6517333984375,749.3004150390625,0.5362827181816101,498.5828857421875,230.31724548339844,0.999984860420227,498.5259094238281,227.7136688232422,0.0055448561906814575
8,808.9059448242188,747.9104614257812,0.8486636281013489,498.6293640136719,230.29995727539062,0.9999853372573853,498.533447265625,227.69529724121094,0.0055571855045855045
9,811.1470947265625,742.6786499023438,0.9624153971672058,498.6341247558594,230.25082397460938,0.9999858140945435,498.5550231933594,227.6682586669922,0.0055408840999007225
10,763.3983764648438,707.6708984375,0.22708339989185333,498.621337890625,230.2193145751953,0.9999860525131226,498.5595703125,227.65567016601562,0.005547907203435898
11,765.2385864257812,706.7876586914062,0.12420110404491425,498.6176452636719,230.223876953125,0.9999860525131226,498.5558776855469,227.65635681152344,0.0055532497353851795
12,822.2779541015625,733.594482421875,0.8447404503822327,497.8734436035156,229.5654754638672,0.9999759197235107,498.4706726074219,227.52978515625,0.006614393554627895
13,823.7210693359375,734.2947387695312,0.7664992213249207,498.1138916015625,229.40696716308594,0.9999802112579346,498.5787048339844,227.4913787841797,0.006489474792033434
14,823.9385375976562,734.8120727539062,0.6385592818260193,498.01446533203125,229.4829559326172,0.9999794960021973,498.5433044433594,227.50331115722656,0.00635222252458334
15,824.4203491210938,735.0872192382812,0.609176516532898,498.0144348144531,229.48297119140625,0.9999794960021973,498.5432434082031,227.5032958984375,0.006352210883051157
16,824.394287109375,734.7731323242188,0.6326520442962646,498.0143737792969,229.48300170898438,0.9999794960021973,498.54315185546875,227.50315856933594,0.006352430675178766
17,823.7303466796875,734.8557739257812,0.7612102627754211,498.0680236816406,229.44992065429688,0.9999799728393555,498.55291748046875,227.50340270996094,0.006395043805241585
18,823.890380859375,734.6366577148438,0.8484090566635132,498.0679626464844,229.4500274658203,0.9999799728393555,498.552978515625,227.5033416748047,0.006395249627530575
19,823.56201171875,734.5958862304688,0.899717390537262,498.0680236816406,229.44996643066406,0.9999799728393555,498.5528564453125,227.50338745117188,0.006395597942173481
20,823.7224731445312,733.85888671875,0.9483532309532166,498.0679626464844,229.4500274658203,0.9999799728393555,498.552978515625,227.50331115722656,0.006394898518919945
21,823.7540283203125,733.5086669921875,0.9636827707290649,498.06805419921875,229.45010375976562,0.9999799728393555,498.5528564453125,227.5033416748047,0.006395143456757069
22,823.8875732421875,733.482666015625,0.9686478972434998,498.0680847167969,229.45010375976562,0.9999799728393555,498.5528259277344,227.50335693359375,0.00639514671638608
23,823.7196655273438,733.1030883789062,0.9645481705665588,498.0683898925781,229.45040893554688,0.9999799728393555,498.5529479980469,227.5033416748047,0.006394834723323584
24,823.603759765625,733.4984130859375,0.8496622443199158,500.86846923828125,231.0560302734375,0.9999849796295166,499.3631591796875,228.01023864746094,0.007375827990472317
25,777.8424072265625,724.7115478515625,0.9962924122810364,501.12469482421875,231.29998779296875,0.9999827146530151,499.3958740234375,228.1231689453125,0.007558632642030716
26,777.0845947265625,734.9598999023438,0.999503493309021,501.2117919921875,231.31825256347656,0.9999827146530151,499.433837890625,228.1358642578125,0.007484859321266413
27,777.6483764648438,742.3383178710938,0.99941086769104,501.3288879394531,231.30331420898438,0.9999825954437256,499.5230712890625,228.11636352539062,0.007686788681894541
28,777.2247314453125,751.5039672851562,0.9997851252555847,501.0921936035156,231.0511474609375,0.999983549118042,499.2091369628906,227.9654998779297,0.008676199242472649
29,773.97998046875,754.6963500976562,0.9997721314430237,500.7814636230469,230.75625610351562,0.9999845027923584,763.2621459960938,743.9342651367188,0.008897509425878525
30,750.9379272460938,731.1829833984375,0.9923906922340393,500.4512634277344,230.71676635742188,0.9999829530715942,499.1090393066406,228.0209197998047,0.008843700401484966
31,764.03515625,726.27001953125,0.9995342493057251,498.9051208496094,230.06459045410156,0.9999798536300659,509.8394775390625,235.0446319580078,0.00756561104208231
32,689.701171875,496.031982421875,0.9996911287307739,498.15692138671875,229.9597930908203,0.9999741315841675,804.220947265625,675.2982788085938,0.011623403057456017
33,660.2667236328125,420.5034484863281,0.9998212456703186,496.58111572265625,231.68170166015625,0.9998400211334229,807.6707153320312,665.3241577148438,0.9998965263366699
34,641.054931640625,315.99676513671875,0.9901840090751648,496.00396728515625,230.64125061035156,0.9998061060905457,807.8909301757812,665.4053344726562,0.9998624324798584
35,626.84716796875,71.02494049072266,0.9981929659843445,496.14208984375,232.6322479248047,0.9999368190765381,807.9525146484375,665.709716796875,0.9998064637184143
36,501.64593505859375,239.91415405273438,0.017341414466500282,493.96771240234375,232.41029357910156,0.9994164705276489,807.821533203125,666.1917724609375,0.9998571872711182
37,496.10125732421875,224.00965881347656,0.007148147094994783,502.1285705566406,232.7657470703125,0.9999475479125977,807.8208618164062,665.9548950195312,0.9998551607131958
38,506.1383361816406,240.68475341796875,0.005888890940696001,498.1960754394531,230.4468536376953,0.9999860525131226,807.7567138671875,665.9263916015625,0.9998080134391785
39,506.07635498046875,240.69248962402344,0.006338444072753191,498.0843200683594,230.60450744628906,0.9999852180480957,807.7493896484375,665.8099975585938,0.999821126461029
40,506.3830261230469,241.10223388671875,0.007191183045506477,498.54931640625,231.09027099609375,0.9999798536300659,807.7362670898438,665.8738403320312,0.999822199344635
41,497.07354736328125,224.2806854248047,0.0074158632196486,499.52935791015625,231.34056091308594,0.9999796152114868,807.8818359375,665.8294677734375,0.9998185038566589
42,497.1094665527344,224.1438751220703,0.007837427780032158,499.8946228027344,230.9971466064453,0.9999822378158569,807.8428344726562,665.6726684570312,0.9998348951339722
43,497.4766845703125,224.26055908203125,0.007187677547335625,499.1900634765625,230.42498779296875,0.9999872446060181,807.83349609375,665.8302001953125,0.9998103976249695
44,497.6513366699219,224.11412048339844,0.008724772371351719,499.90203857421875,230.36680603027344,0.999985933303833,807.831787109375,665.7793579101562,0.9998183846473694
45,497.6258850097656,224.15841674804688,0.007955403067171574,499.7713317871094,230.48480224609375,0.9999837875366211,807.6823120117188,665.693603515625,0.9998296499252319
46,497.7497253417969,224.09307861328125,0.007896297611296177,499.4613342285156,230.35247802734375,0.9999852180480957,807.6046752929688,665.74755859375,0.9998301267623901
47,497.60650634765625,224.04966735839844,0.00810161978006363,499.5699462890625,230.1269989013672,0.9999880790710449,807.6488037109375,665.7448120117188,0.9998286962509155
48,506.3545837402344,241.3245391845703,0.006678872741758823,498.9415588378906,230.8578338623047,0.9999874830245972,806.8718872070312,665.3597412109375,0.9998972415924072
49,506.38958740234375,241.3077850341797,0.006866690702736378,498.65301513671875,230.90985107421875,0.9999873638153076,807.03369140625,665.5656127929688,0.9998693466186523
50,506.3420715332031,241.18016052246094,0.0064072380773723125,498.5434265136719,230.7244110107422,0.9999879598617554,807.2642822265625,665.7296142578125,0.9998462200164795
51,506.3785400390625,241.26284790039062,0.0062652104534208775,498.75274658203125,230.8391876220703,0.9999874830245972,807.532470703125,665.9761962890625,0.9998359680175781
52,506.3587951660156,241.17120361328125,0.006029608193784952,498.7020568847656,230.71681213378906,0.999988317489624,807.1968383789062,665.75537109375,0.9998283386230469
53,506.3934326171875,241.13027954101562,0.00640860153362155,498.6477355957031,230.91513061523438,0.9999872446060181,807.4810791015625,666.0318603515625,0.9998267292976379
54,506.32672119140625,241.07431030273438,0.006540525704622269,498.5977783203125,230.93980407714844,0.9999866485595703,807.134521484375,665.7249755859375,0.9998376369476318
55,506.2382507324219,240.91641235351562,0.0064448039047420025,498.5855407714844,230.83119201660156,0.999987006187439,807.1619873046875,665.7919311523438,0.9998422861099243
56,497.3868408203125,224.30862426757812,0.006108330562710762,498.55023193359375,230.5186309814453,0.9999874830245972,807.152587890625,665.777099609375,0.9998488426208496
57,497.3340759277344,224.28414916992188,0.006126612424850464,498.46771240234375,230.55690002441406,0.9999873638153076,807.3161010742188,665.8148803710938,0.999840259552002
58,497.4503173828125,224.47434997558594,0.005855995696038008,498.4732971191406,230.36769104003906,0.9999879598617554,807.2518310546875,665.7193603515625,0.9998481273651123
59,497.56744384765625,224.35145568847656,0.0062644947320222855,498.801513671875,230.55023193359375,0.9999884366989136,807.3639526367188,665.7723388671875,0.9998433589935303
60,497.41815185546875,223.76490783691406,0.006271783262491226,498.4530029296875,229.7078857421875,0.9999887943267822,806.5493774414062,663.6624755859375,0.9999651908874512
